Tanggal;year;month;day;T '07.00;T '13.00;T '18.00;TRata2;TMax;TMin;Curah Hujan (mm);SS (%);Cuaca;Tekanan Udara (mb);RH07.00;RH13.00;RH18.00;RHRata2;Kec Rata2;Arah Terbanyak;Kec,Max;Arah;T07;T13;T18;T_Avg;T_Max;T_Min;Rain;Sun;Pressure;RH07;RH13;RH18;RH_Avg;WS_Avg;WD_Most;WS_Max;WD_Max;Tanggal_DT
;2015;2;18;;;;;;;;;L;;;;;;;;;;25.1;32.0;27.4;27.81666667;32.3;23.9;38.6;77.5;1008.8;0.0;0.0;0.0;80.95563726;6.0;0.0;10.0;40.0;2015-02-18
;2015;2;19;;;;;;;;;TS;;;;;;;;;;25.8;28.4;26.4;26.57083333;30.3;24.3;0.7;16.25;1010.0;0.0;0.0;0.0;85.60849352;7.0;0.0;11.0;260.0;2015-02-19
;2015;2;20;;;;;;;;;TS;;;;;;;;;;25.2;31.6;24.4;26.77916667;32.1;24.6;16.0;72.5;1011.2;0.0;0.0;0.0;83.39164996;5.5;0.0;9.0;280.0;2015-02-20
;2015;2;21;;;;;;;;;TS;;;;;;;;;;25.6;32.8;24.6;27.49583333;33.4;23.8;7.2;97.5;1009.2;0.0;0.0;0.0;79.62557951;8.5;0.0;15.0;290.0;2015-02-21
;2015;2;22;;;;;;;;;TS;;;;;;;;;;25.8;32.5;29.4;28.90416667;32.4;24.0;0.8;91.25;1009.4;0.0;0.0;0.0;78.91790102;8.0;0.0;12.0;330.0;2015-02-22
;2015;2;23;;;;;;;;;L;;;;;;;;;;27.0;31.8;29.0;28.025;32.3;25.8;0.0;45.0;1010.3;0.0;0.0;0.0;77.55572996;8.0;0.0;13.0;240.0;2015-02-23
;2015;2;24;;;;;;;;;TS;;;;;;;;;;25.1;32.7;26.4;28.03333333;33.2;24.4;0.0;82.5;1010.9;0.0;0.0;0.0;77.09794934;7.0;0.0;12.0;270.0;2015-02-24
;2015;2;25;;;;;;;;;TS;;;;;;;;;;25.5;32.2;30.4;28.27083333;32.6;24.0;0.2;87.5;1010.7;0.0;0.0;0.0;80.3843514;5.0;0.0;8.0;100.0;2015-02-25
;2015;2;26;;;;;;;;;TS;;;;;;;;;;25.4;30.0;26.2;26.68333333;30.9;24.6;5.6;5.0;1010.0;0.0;0.0;0.0;83.65944696;5.0;0.0;8.0;190.0;2015-02-26
;2015;2;27;;;;;;;;;TS;;;;;;;;;;25.3;30.8;25.1;26.76666667;32.0;24.2;0.5;47.5;1009.6;0.0;0.0;0.0;85.5416268;9.5;0.0;16.0;190.0;2015-02-27
;2015;2;28;;;;;;;;;TS;;;;;;;;;;25.2;29.7;29.3;27.48333333;30.8;24.3;19.3;32.5;1009.6;0.0;0.0;0.0;82.78619141;6.5;0.0;10.0;201.0;2015-02-28
;2015;3;13;;;;;;;;;;;;;;;;;;;26.6;31.5;30.5;28.64583333;31.8;25.2;0.0;37.5;1012.0;0.0;0.0;0.0;80.06368865;6.5;0.0;10.0;250.0;2015-03-13
;2015;3;14;;;;;;;;;;;;;;;;;;;26.0;30.5;28.8;27.14166667;30.8;24.5;6.1;6.25;1013.2;0.0;0.0;0.0;83.88647291;6.0;0.0;10.0;180.0;2015-03-14
;2015;3;15;;;;;;;;;;;;;;;;;;;25.6;28.1;25.4;25.94583333;31.5;24.8;0.0;51.25;1013.5;0.0;0.0;0.0;87.93400953;8.5;0.0;15.0;210.0;2015-03-15
